;;;;;Games;;0-19;;20-29;;30-39;;40-49;;50+;;Scoring;;;;;;;Kickoffs;;;;
Rk;Player;Tm;Age;Pos;G;GS;FGA;FGM;FGA;FGM;FGA;FGM;FGA;FGM;FGA;FGM;FGA;FGM;Lng;FG%;XPA;XPM;XP%;KO;KOYds;TB;TB%;KOAvg
1;Jason Myers;SEA;32;K;17;0;;;8;8;12;11;14;12;8;4;42;35;55;83.30%;33;33;100.00%;86;5430;55;64.00%;63.1
2;Matt Gay;IND;29;K;17;0;;;9;9;10;9;9;7;13;8;41;33;57;80.50%;36;35;97.20%;92;5898;72;78.30%;64.1
3;Brandon Aubrey*+;DAL;28;K;17;0;;;9;9;15;13;4;4;10;10;38;36;60;94.70%;52;49;94.20%;109;7068;99;90.80%;64.8
4;Cairo Santos;CHI;32;K;17;0;;;9;9;11;11;10;8;8;7;38;35;55;92.10%;33;31;93.90%;76;4830;60;78.90%;63.6
5;Greg Zuerlein;NYJ;36;K;16;0;;;8;8;10;9;14;13;6;5;38;35;55;92.10%;16;15;93.80%;64;4150;58;90.60%;64.8
6;Justin Tucker*;BAL;34;K;17;0;;;10;10;10;10;12;11;5;1;37;32;50;86.50%;52;51;98.10%;101;6445;80;79.20%;63.8
7;Blake Grupe;NOR;25;K;17;0;;;12;10;6;6;10;8;9;6;37;30;55;81.10%;40;40;100.00%;91;5828;76;83.50%;64
8;Brandon McManus;JAX;32;K;17;0;;;4;4;10;10;13;11;10;5;37;30;56;81.10%;35;35;100.00%;86;5421;65;75.60%;63
9;Younghoe Koo;ATL;29;K;17;0;;;10;10;10;10;11;9;6;3;37;32;54;86.50%;28;27;96.40%;3;192;2;66.70%;64
10;Dustin Hopkins;CLE;33;K;15;0;;;8;8;7;7;13;10;8;8;36;33;58;91.70%;26;24;92.30%;77;4890;50;64.90%;63.5
11;Harrison Butker;KAN;28;K;17;0;;;8;8;15;13;7;7;5;5;35;33;60;94.30%;38;38;100.00%;85;5565;74;87.10%;65.5
12;Wil Lutz;DEN;29;K;17;0;;;11;11;13;12;5;4;5;3;34;30;52;88.20%;31;29;93.50%;81;5123;71;87.70%;63.2
13;Anders Carlson;GNB;25;K;17;0;;;6;6;14;14;8;4;5;3;33;27;53;81.80%;39;34;87.20%;86;5466;37;43.00%;63.6
14;Cameron Dicker;LAC;23;K;17;0;;;7;7;8;8;9;9;9;7;33;31;55;93.90%;35;35;100.00%;81;5168;68;84.00%;63.8
15;Matt Prater;ARI;39;K;17;0;;;6;6;8;7;7;6;12;9;33;28;62;84.80%;23;22;95.70%;79;4842;66;83.50%;61.3
16;Jake Elliott;PHI;28;K;17;0;;;9;9;8;7;7;7;8;7;32;30;61;93.80%;46;45;97.80%;91;5846;73;80.20%;64.2
17;Evan McPherson;CIN;24;K;17;0;;;5;5;6;6;8;8;12;7;31;26;56;83.90%;40;40;100.00%;82;5162;63;76.80%;63
18;Chase McLaughlin;TAM;27;K;17;0;;;8;8;12;12;3;2;8;7;31;29;57;93.50%;33;33;100.00%;4;255;3;75.00%;63.8
19;Chris Boswell;PIT;32;K;17;0;;;9;9;7;7;8;7;7;6;31;29;57;93.50%;28;27;96.40%;76;4833;55;72.40%;63.6
20;Greg Joseph;MIN;29;K;17;0;1;1;7;7;9;9;6;3;7;4;30;24;54;80.00%;38;36;94.70%;79;5084;61;77.20%;64.4
21;Daniel Carlson;LVR;28;K;17;0;;;10;10;7;6;10;9;3;1;30;26;54;86.70%;32;32;100.00%;78;4977;48;61.50%;63.8
22;Nick Folk;TEN;39;K;17;0;;;9;9;9;9;6;6;6;5;30;29;53;96.70%;30;28;93.30%;63;3927;32;50.80%;62.3
23;Tyler Bass;BUF;26;K;17;0;;;4;4;13;12;6;4;6;4;29;24;54;82.80%;50;49;98.00%;95;5952;53;55.80%;62.7
24;Eddy Pineiro;CAR;28;K;15;0;;;6;6;7;7;9;7;7;5;29;25;56;86.20%;20;17;85.00%;57;3532;36;63.20%;62
25;Jason Sanders;MIA;28;K;17;0;;;6;6;7;7;8;6;7;5;28;24;57;85.70%;59;58;98.30%;90;5803;76;84.40%;64.5
26;Ka'imi Fairbairn;HOU;29;K;12;0;;;10;10;10;10;2;2;6;5;28;27;54;96.40%;22;21;95.50%;58;3624;37;63.80%;62.5
27;Jake Moody;SFO;24;K;17;0;;;7;7;9;8;6;4;3;2;25;21;57;84.00%;61;60;98.40%;90;5680;54;60.00%;63.1
28;Chad Ryland;NWE;24;K;17;0;;;4;4;7;5;10;5;4;2;25;16;56;64.00%;25;24;96.00%;60;3814;39;65.00%;63.6
29;Joey Slye;WAS;27;K;17;0;;;3;2;7;7;9;7;5;3;24;19;61;79.20%;35;32;91.40%;72;4520;64;88.90%;62.8
30;Brett Maher;LAR;34;K;8;0;;;3;3;4;4;9;7;7;3;23;17;54;73.90%;15;13;86.70%;2;56;;;28
31;Lucas Havrisik;LAR;24;K;9;0;;;8;8;3;3;6;2;3;2;20;15;52;75.00%;22;19;86.40%;8;524;7;87.50%;65.5
32;Riley Patterson;2TM;24;K;15;0;;;3;2;11;11;2;2;2;1;18;16;52;88.90%;44;41;93.20%;16;969;6;37.50%;60.6
33;Graham Gano;NYG;36;K;8;0;;;2;2;5;3;6;3;4;3;17;11;57;64.70%;8;8;100.00%;28;1819;23;82.10%;65
34;Matt Ammendola;HOU;27;K;5;0;;;2;2;3;3;2;1;2;;9;6;45;66.70%;11;10;90.90%;22;1402;16;72.70%;63.7
35;Mason Crosby;NYG;39;K;3;0;;;2;2;2;2;1;;2;1;7;5;52;71.40%;7;6;85.70%;16;972;2;12.50%;60.8
36;Randy Bullock;NYG;34;K;6;0;;;;;2;2;3;2;1;1;6;5;56;83.30%;10;10;100.00%;20;1268;13;65.00%;63.4
37;Michael Badgley;DET;28;K;4;0;;;;;3;3;1;1;;;4;4;41;100.00%;15;13;86.70%;1;10;;;10
38;Austin Seibert;NYJ;27;K;1;0;;;;;1;1;;;;;1;1;34;100.00%;1;1;100.00%;3;176;2;66.70%;58.7
39;Dare Ogunbowale;HOU;29;RB;12;0;;;1;1;;;;;;;1;1;29;100.00%;;;;6;331;3;50.00%;55.2
40;Jamie Gillan;NYG;26;P;17;0;;;;;;;1;1;;;1;1;40;100.00%;;;;1;51;;;51
41;Matthew Wright;CAR;27;K;1;0;;;;;;;;;1;;1;;;0.00%;;;;1;65;1;100.00%;65
42;Jack Fox;DET;27;P;17;0;;;;;;;;;;;;;;;;;;86;5482;58;67.40%;63.7
43;Ethan Evans;LAR;22;P;17;0;;;;;;;;;;;;;;;;;;82;5285;73;89.00%;64.5
44;Jake Camarda;TAM;24;P;17;0;;;;;;;;;;;;;;;;;;78;4869;49;62.80%;62.4
45;Bradley Pinion;ATL;29;P;17;0;;;;;;;;;;;;;;;;;;76;4936;64;84.20%;64.9
46;Trenton Gill;CHI;24;P;17;0;;;;;;;;;;;;;;;;;;13;794;11;84.60%;61.1
47;Ty Zentner;2TM;25;K-P;9;0;;;;;;;;;;;;;;;;;;9;581;2;22.20%;64.6
48;Jake Bailey;MIA;26;P;17;0;;;;;;;;;;;;;;;;;;8;524;7;87.50%;65.5
49;Mitch Wishnowsky;SFO;31;P;17;0;;;;;;;;;;;;;;;;;;7;451;4;57.10%;64.4
